annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
Video,No budget,"Scott Allen,Christian Garton,Marsha Hunt",Scott Allen,Unrated,Documentary,English,,274,United States,1997,No Popularity Score,,Scott Allen,6.6,Playboy: Voluptuous Vixens
Video,No budget,"Scott Allen,Stars,Tawnni Cable",Scott Allen,Unrated,Documentary,English,,435,United States,1994,No Popularity Score,,Scott Allen,6.4,Playboy Wet & Wild: The Locker Room
Video,No budget,"Scott Allen,Steve Conte,Ken Thurlbeck",Scott Allen,Unrated,Documentary,English,,33,United States,1993,No Popularity Score,,Scott Allen,6.6,Playboy: Wet & Wild V
1998,"FRF 53,000,000 (estimated)","Gérard Pirès,Luc Besson,Stars",Gérard Pirès,1h 29m,"Action,Comedy,Crime","French,German,Korean,Portuguese",,89K,France,Not Rated,No Popularity Score,"April 8, 1998",Gérard Pirès,7.0,Taxi
1981,No budget,"Boaz Davidson,Writers,Boaz Davidson",Boaz Davidson,0,"Comedy,Drama,Romance",Hebrew,,2K,"Israel,West Germany",1h 30m,No Popularity Score,"August 23, 1982",Boaz Davidson,5.6,Hot Bubblegum
Music Video,No budget,"Bob Johnston,Laura Branigan,Bob Johnston",Bob Johnston,4m,Music,English,,6,United States,1988,No Popularity Score,,Bob Johnston,5.8,Laura Branigan: Your Love
1987,"$5,000,000 (estimated)","J. Lee Thompson,Brian Garfield,Gail Morgan Hickman",J. Lee Thompson,1h 39m,"Action,Crime,Drama",English,,11K,United States,R,No Popularity Score,"March 23, 1988",J. Lee Thompson,5.4,Death Wish 4: The Crackdown
1988,No budget,"Boaz Davidson,Writers,Boaz Davidson",Boaz Davidson,1h 37m,"Music,Romance",English,,1.3K,United States,PG,No Popularity Score,"February 8, 1989",Boaz Davidson,4.8,Salsa
Music Video,No budget,"Mark Neale,Wim Wenders,Stars",Mark Neale,5m,"Drama,Fantasy,Music",English,,111,Ireland,1993,No Popularity Score,,Mark Neale,7.9,"U2: Stay (Faraway, So Close!)"
1978,No budget,"Brian Trenchard-Smith,Stars,Margaret Gerard",Brian Trenchard-Smith,0,"Short,Action,Adventure",English,,0,Australia,20m,No Popularity Score,May 1978,Brian Trenchard-Smith,0.0,Stunt Rock: Original Cannes Promo Reel
1978,"A$450,000 (estimated)","Brian Trenchard-Smith,Paul-Michel Mielche Jr.,Brian Trenchard-Smith",Brian Trenchard-Smith,1h 31m,"Action,Drama,Music",English,,606,"Netherlands,Australia,United States",PG,No Popularity Score,"December 12, 1979",Brian Trenchard-Smith,5.5,Stunt Rock
1965,"DEM 117,000 (estimated)","Jean-Marie Straub,Heinrich Böll,Danièle Huillet",Jean-Marie Straub,0,"Drama,History",German,,806,West Germany,55m,No Popularity Score,"April 20, 1966",Jean-Marie Straub,6.3,Not Reconciled
1984,No budget,"Manfred Blank,Danièle Huillet,Jean-Marie Straub",Manfred Blank,0,"Documentary,Short",German,,22,West Germany,42m,No Popularity Score,,Manfred Blank,7.2,Wie will ich lustig lachen
1991,No budget,"Stanley Kwan,Peggy Chiao,Kang-Chien Chiu",Stanley Kwan,0,"Biography,Drama,Romance","Cantonese,Mandarin,English",,2.7K,Hong Kong,2h 6m,No Popularity Score,"December 1, 1999",Stanley Kwan,7.4,Center Stage
2010,No budget,"Raúl Ruiz,Camilo Castelo Branco,Carlos Saboga",Raúl Ruiz,0,Drama,Portuguese,,174,"Portugal,France",4h 26m,No Popularity Score,"October 20, 2010",Raúl Ruiz,7.6,Mysteries of Lisbon
TV Special,No budget,"Henriette Marienlund,Stars,Morten Løkkegaard",Henriette Marienlund,1h 58m,"Music,News",Danish,,21,Denmark,2003,No Popularity Score,,Henriette Marienlund,4.5,Året der gik 2003
Music Video,"₹100,000 (estimated)","Raj Mehta,Stars,Akshay Kumar",Raj Mehta,3m,Music,"Punjabi,Hindi",,242,India,2019,No Popularity Score,,Raj Mehta,4.9,"Badshah, Harrdy Sandhu, Lisa Mishra, Asees Kaur: Chandigarh Mein"
2019,No budget,"Raj Mehta,Kulwinder Singh,Ranjeet Singh",Raj Mehta,2h 14m,"Comedy,Drama","Hindi,English",,22K,India,Not Rated,No Popularity Score,"December 27, 2019",Raj Mehta,6.8,Good Newwz
1976,No budget,"Stein-Roger Bull,Harald Tusberg,Stars",Stein-Roger Bull,0,Comedy,Norwegian,,198,Norway,1h 41m,No Popularity Score,,Stein-Roger Bull,5.3,Bør Børson II
1986,"$3,401,376 (estimated)","Renny Harlin,Renny Harlin,Markus Selin",Renny Harlin,1h 35m,"Action,Drama,Thriller",English,,2.2K,"United States,Finland",R,No Popularity Score,"September 21, 1988",Renny Harlin,4.2,Born American
TV Movie,No budget,"Pirkko Frank-Arkimies,Stars,Esko Nikkari",Pirkko Frank-Arkimies,1h 8m,"Documentary,Biography",Finnish,,16,Finland,2001,No Popularity Score,,Pirkko Frank-Arkimies,8.2,Esko Nikkari - köyhän miehen Brando
1997,"FIM 4,140,000 (estimated)","Matti Grönberg,Writers,Heikki Hela",Matti Grönberg,0,"Adventure,Comedy","Finnish,German,Swedish",,3.8K,Finland,1h 36m,No Popularity Score,,Matti Grönberg,7.2,Kummeli Kultakuume
1989,No budget,"Jorma Kalliokoski,Jorma Kalliokoski,Stars",Jorma Kalliokoski,0,Drama,Finnish,,25,Finland,1h 41m,No Popularity Score,,Jorma Kalliokoski,3.4,Hyvästi ennen aamua
2003,"$35,000,000 (estimated)","Michael Tollin,Mike Rich,Gary Smith",Michael Tollin,1h 49m,"Biography,Drama,Sport",English,,44K,United States,PG,No Popularity Score,"July 14, 2004",Michael Tollin,6.9,Radio
TV Movie,No budget,"Carlos Navarro Ballesteros,Carlos Ruano,Stars",Carlos Navarro Ballesteros,56m,Drama,Spanish,,11,Spain,2011,No Popularity Score,,Carlos Navarro Ballesteros,7.7,FoQ: Lo que hemos vivido
2021,No budget,"Clio Barnard,Clio Barnard,Stars",Clio Barnard,1h 35m,"Drama,Romance",English,,3K,United Kingdom,Not Rated,No Popularity Score,"July 11, 2021",Clio Barnard,6.7,Ali & Ava
2019,No budget,"Fábio Rodrigues Filho,Fabio Rodrigues Filho,Stars",Fábio Rodrigues Filho,0,"Documentary,Short",Portuguese,,10,Brazil,27m,No Popularity Score,,Fábio Rodrigues Filho,7.4,"Pressed, Ripped Apart"
2005,No budget,"Sergio Machado,Writers,Karim Aïnouz",Sergio Machado,1h 38m,Drama,"Portuguese,Spanish,English",,4.4K,"Brazil,United Kingdom",R,No Popularity Score,"May 16, 2005",Sergio Machado,6.5,Lower City
2018,No budget,"Matthew Mark Hunter,Writers,Autumn",Matthew Mark Hunter,0,"Short,Horror,Thriller",English,,0,United States,15m,No Popularity Score,,Matthew Mark Hunter,0.0,Nightmares Unleashed
1916,No budget,"Stars,Charles Chaplin,Edna Purviance",Stars,0,Comedy,"None,English",,55,United States,No Pegi,No Popularity Score,,Stars,6.4,The Essanay-Chaplin Revue of 1916
TV Movie,No budget,"Alain Bergala,Stars,Amir Abbas",Alain Bergala,26m,Documentary,"English,French,Persian",,137,France,2003,No Popularity Score,2003,Alain Bergala,6.5,Chaplin Today: The Kid
2017,No budget,"Matthew Mark Hunter,Matthew Mark Hunter,Stars",Matthew Mark Hunter,0,"Short,Horror",English,,0,United States,3m,No Popularity Score,,Matthew Mark Hunter,0.0,Benny
1925,No budget,"Robert Saidreau,Georges Feydeau,Stars",Robert Saidreau,0,No kind,,,0,France,No Pegi,No Popularity Score,"April 24, 1925",Robert Saidreau,0.0,Un fil à la patte
1923,No budget,"John L. McCutcheon,Writer,Leota Morgan",John L. McCutcheon,0,Drama,"None,English",,13,United States,50m,No Popularity Score,,John L. McCutcheon,6.5,Man and Wife
1954,No budget,"Guy Lefranc,Writers,Georges Feydeau",Guy Lefranc,0,Comedy,French,,52,France,1h 26m,No Popularity Score,"December 6, 1954",Guy Lefranc,5.9,Le fil à la patte
1986,"$6,500,000 (estimated)","Emilio Estevez,Emilio Estevez,Stars",Emilio Estevez,1h 49m,"Crime,Drama",English,,3.6K,United States,R,No Popularity Score,"May 13, 1987",Emilio Estevez,5.7,Wisdom
2003,"$12,000,000 (estimated)","Peter Webber,Tracy Chevalier,Olivia Hetreed",Peter Webber,1h 40m,"Biography,Drama,Romance",English,,83K,"United Kingdom,Luxembourg,France,Belgium,United States",PG-13,"4,050","October 3, 2003",Peter Webber,6.9,Girl with a Pearl Earring
Video,No budget,"David Gregory,Stars,Françoise De Leu",David Gregory,24m,"Documentary,Short",English,,13,United States,2006,No Popularity Score,,David Gregory,5.0,The Last Temptation of Just
1990,"$12,000,000 (estimated)","Woody Allen,Woody Allen,Stars",Woody Allen,1h 46m,"Comedy,Romance","English,Cantonese",,15K,United States,PG-13,No Popularity Score,"February 6, 1991",Woody Allen,6.6,Alice
Video Game,No budget,"Writers,Tsutomu Ano,Hirohiko Araki",Writers,0,"Action,Fantasy,Sci-Fi",Japanese,,43,Japan,2006,No Popularity Score,,Writers,7.6,Jump Ultimate Stars
1978,No budget,"Robert J. Rosenthal,Celia Susan Cotelo,Robert J. Rosenthal",Robert J. Rosenthal,1h 36m,Comedy,English,,717,United States,R,No Popularity Score,"June 20, 1979",Robert J. Rosenthal,4.5,Malibu Beach
Video,No budget,"Jake West,Stars,Pete Walker",Jake West,38m,"Documentary,Short",English,,22,United Kingdom,2005,No Popularity Score,,Jake West,8.1,Courting Controversy
TV Special,No budget,"Sam Cameron,Robert Osborne,Alan Arkin",Sam Cameron,1h,Talk-Show,English,,31,United States,2015,No Popularity Score,,Sam Cameron,8.2,Alan Arkin: Live from the TCM Classic Film Festival
1968,No budget,"Bud Yorkin,Writers,Blake Edwards",Bud Yorkin,1h 36m,"Comedy,Crime,Mystery",English,,3.2K,"United Kingdom,United States",G,No Popularity Score,"April 24, 1968",Bud Yorkin,4.7,Inspector Clouseau
Video,No budget,"Calum Waddell,Kenneth J. Hall,Calum Waddell",Calum Waddell,8m,"Documentary,Short",English,,0,United Kingdom,2014,No Popularity Score,,Calum Waddell,0.0,Video Nasty: Kenneth J. Hall Remembers the Direct-to-Video Horror Boom
Music Video,No budget,"Fast Eddie Clarke,Fastway,Fast Eddie Clarke",Fast Eddie Clarke,4m,Music,English,,0,United States,1986,No Popularity Score,,Fast Eddie Clarke,0.0,Fastway: After Midnight
1988,"$450,000 (estimated)","John Fasano,Cindy Cirile,Stars",John Fasano,1h 30m,"Horror,Music",English,,2.6K,Canada,R,No Popularity Score,"September 23, 2017",John Fasano,5.2,Black Roses
1955,No budget,"Herk Harvey,Margaret Travis,Herk Harvey",Herk Harvey,10m,"Drama,Short",English,,49,United States,Not Rated,No Popularity Score,,Herk Harvey,5.0,Why Study Home Economics?
1967,No budget,"John Hofsess,Peter Rowe,Stars",John Hofsess,0,Short,No Language,,0,Canada,38m,No Popularity Score,,John Hofsess,0.0,Palace of Pleasure
1933,No budget,"Ludwig Berger,Raoul Ploquin,Robert Liebmann",Ludwig Berger,0,Musical,French,,20,Germany,1h 25m,No Popularity Score,"December 12, 1933",Ludwig Berger,4.4,La guerre des valses
1982,No budget,"Claude Zidi,Michel Fabre,Didier Kaminka",Claude Zidi,0,"Comedy,Music,Romance","French,Japanese,German,English",,1.6K,France,1h 35m,No Popularity Score,"March 10, 1982",Claude Zidi,4.9,Les sous-doués en vacances
1967,No budget,"Bud Yorkin,Robert Kaufman,Norman Lear",Bud Yorkin,1h 49m,Comedy,English,,1.9K,United States,Approved,"2,370","January 23, 1968",Bud Yorkin,6.3,Divorce American Style
Video,No budget,"Wendi Peters,Andrew Whyment,Sam Aston",Wendi Peters,6m,"Documentary,Short",English,,0,United Kingdom,2008,No Popularity Score,,Wendi Peters,0.0,Filming in Africa
Video,No budget,"Duncan Foster,Joe Turner,Mark Wadlow",Duncan Foster,1h 47m,Drama,English,,79,United Kingdom,2008,No Popularity Score,,Duncan Foster,6.4,Coronation Street: Out of Africa
2017,No budget,"Miguel Cardoso,Miguel Cardoso,Henrique Espírito Santo",Miguel Cardoso,0,"Documentary,Biography",Portuguese,,0,Portugal,58m,No Popularity Score,,Miguel Cardoso,0.0,"Henrique Espírito Santo - Até Amanhã, Henrique!"
1986,"$8,500,000 (estimated)","Edward Zwick,David Mamet,Tim Kazurinsky",Edward Zwick,1h 53m,"Comedy,Drama,Romance",English,,17K,United States,R,No Popularity Score,"September 10, 1986",Edward Zwick,6.3,About Last Night
TV Movie,No budget,"Bruno Cerveira,Vasco Eloy,Vasco Eloy",Bruno Cerveira,53m,"Documentary,Biography",Portuguese,,7,Portugal,1998,No Popularity Score,,Bruno Cerveira,7.3,Vasco Santana: O Bom Português
2018,"$94,000,000 (estimated)","Roar Uthaug,Writers,Geneva Robertson-Dworet",Roar Uthaug,1h 59m,"Action,Adventure,Fantasy","English,Cantonese,Hindi",,226K,"United Kingdom,United States",PG-13,"1,712","March 14, 2018",Roar Uthaug,6.3,Tomb Raider
1997,"$16,000,000 (estimated)","Bruce Beresford,Writers,David Giles",Bruce Beresford,2h 2m,"Drama,History,War","English,Japanese,Dutch,Malay",,5.9K,"Australia,United States",R,No Popularity Score,"January 14, 1998",Bruce Beresford,6.8,Paradise Road
1976,No budget,"José María Gutiérrez Santos,Mario Vargas Llosa,Writers",José María Gutiérrez Santos,1h 40m,"Comedy,Drama",Spanish,,88,Spain,R,No Popularity Score,,José María Gutiérrez Santos,5.9,Pantaleon
2015,"$49,000,000 (estimated)","Neill Blomkamp,Neill Blomkamp,Terri Tatchell",Neill Blomkamp,2h,"Action,Crime,Drama",English,,269K,United States,R,"3,366","March 4, 2015",Neill Blomkamp,6.8,Chappie
2007,"$45,000,000 (estimated)","Mike Newell,Ronald Harwood,Gabriel García Márquez",Mike Newell,2h 19m,"Drama,Romance",English,,24K,"United States,Mexico,United Kingdom,Colombia",R,No Popularity Score,"December 26, 2007",Mike Newell,6.4,Love in the Time of Cholera
2006,"R$3,000,000 (estimated)","Cao Hamburger,Writers,Adriana Falcão",Cao Hamburger,1h 50m,Drama,"Portuguese,Yiddish,Hebrew",,6.6K,Brazil,PG,No Popularity Score,"December 26, 2007",Cao Hamburger,7.4,The Year My Parents Went on Vacation
2015,No budget,"Peterson Ferreira,Peterson Ferreira,Stars",Peterson Ferreira,0,Short,Portuguese,,0,Brazil,16m,No Popularity Score,,Peterson Ferreira,0.0,Vazio
Video,No budget,"Christophe Bruncher,Wang Bing,Christophe Bruncher",Christophe Bruncher,19m,"Documentary,Short","French,Chinese",,0,France,2004,No Popularity Score,2004,Christophe Bruncher,0.0,Wang Bing parle de 'A l'Ouest des Rails'
2002,No budget,"Wang Bing,Wang Bing",Wang Bing,0,Documentary,Mandarin,,1.3K,"China,Netherlands",9h 11m,No Popularity Score,"November 26, 2003",Wang Bing,8.2,Tie Xi Qu: West of the Tracks
1998,No budget,"Serdar Akar,Serdar Akar,Önder Çakar",Serdar Akar,0,"Crime,Drama",Turkish,,16K,Turkey,1h 42m,No Popularity Score,"May 18, 1999",Serdar Akar,7.9,Gemide
1989,No budget,"Hristos Vakalopoulos,Antonis Kioukas,Hristos Vakalopoulos",Hristos Vakalopoulos,0,"Action,Crime,Drama",Greek,,58,Greece,1h 29m,No Popularity Score,,Hristos Vakalopoulos,6.8,Olga Robards
Video,No budget,"Tom Green,Tom Green,Derek Harvie",Tom Green,Not Rated,"Short,Comedy",English,,24,United States,2001,No Popularity Score,,Tom Green,6.6,Freddy Got Fingered: Deleted Scenes
2007,No budget,"Stavros Kaplanidis,Stavros Kaplanidis,Hristos Vakalopoulos",Stavros Kaplanidis,0,"Documentary,Biography",Greek,,13,Greece,1h 5m,No Popularity Score,,Stavros Kaplanidis,8.2,"Play It Again, Hristo"
2012,No budget,"Murat Seker,Murat Seker,Ali Tanriverdi",Murat Seker,0,Comedy,Turkish,,4K,Turkey,1h 41m,No Popularity Score,"December 12, 2012",Murat Seker,4.6,Çakallarla Dans 2: Hastasiyiz Dede
2018,No budget,"Mehmet Ada Öztekin,Mehmet Ada Öztekin,Stars",Mehmet Ada Öztekin,0,Drama,Turkish,,3.1K,Turkey,1h 36m,No Popularity Score,"March 30, 2018",Mehmet Ada Öztekin,5.6,Kaybedenler Kulübü Yolda
2021,No budget,"Blerta Basholli,Blerta Basholli,Stars",Blerta Basholli,0,Drama,Albanian,,4K,"Kosovo,Switzerland,Albania,North Macedonia",1h 24m,No Popularity Score,"October 16, 2021",Blerta Basholli,7.1,Hive
2009,"$2,000,000 (estimated)","Atil Inaç,Kaan Ertem,Safak Sezer",Atil Inaç,0,Comedy,Turkish,,14K,Turkey,1h 38m,No Popularity Score,,Atil Inaç,6.5,Kolpaçino
2008,No budget,"Onur Ünlü,Onur Ünlü,Stars",Onur Ünlü,0,"Comedy,Fantasy",Turkish,,6.1K,Turkey,1h 29m,No Popularity Score,,Onur Ünlü,7.0,Günesin Oglu
2010,"€1,250,000 (estimated)","Semih Kaplanoglu,Semih Kaplanoglu,Orçun Köksal",Semih Kaplanoglu,1h 43m,Drama,Turkish,,7.5K,"Turkey,Germany,France",Not Rated,No Popularity Score,"July 13, 2010",Semih Kaplanoglu,7.1,Honey
1972,No budget,"Hulki Saner,Oksal Pekmezoglu,Stars",Hulki Saner,0,"Comedy,Romance",Turkish,,59,Turkey,1h 8m,No Popularity Score,,Hulki Saner,5.0,Rüyalar Gerçek Olsa
2005,"$56,000,000 (estimated)","Adam Shankman,Thomas Lennon,Robert Ben Garant",Adam Shankman,1h 35m,"Action,Comedy,Drama","English,Korean",,101K,United States,PG,"2,541","June 8, 2005",Adam Shankman,5.6,The Pacifier
2004,"$50,000,000 (estimated)","Peter Hewitt,Jim Davis,Joel Cohen",Peter Hewitt,1h 20m,"Adventure,Comedy,Family",English,,94K,United States,PG,"3,181","August 11, 2004",Peter Hewitt,5.0,Garfield: The Movie
TV Movie,No budget,"Stephan Franck,Todd Berger,Stars",Stephan Franck,G,"Animation,Adventure,Comedy",English,,974,"United States,Spain",2013,No Popularity Score,"June 10, 2013",Stephan Franck,6.2,The Smurfs: The Legend of Smurfy Hollow
TV Movie,No budget,"Gerard Baldwin,Writers,Gerard Baldwin",Gerard Baldwin,Not Rated,"Animation,Adventure,Comedy",English,,349,United States,1982,No Popularity Score,,Gerard Baldwin,6.3,The Smurfs Christmas Special
Music Video,No budget,"Dave Meyers,Céline Dion,Dave Meyers",Dave Meyers,3m,"Short,Music,Sci-Fi",English,,56,United States,2002,No Popularity Score,,Dave Meyers,6.9,Céline Dion: I'm Alive
2002,"$120,000,000 (estimated)","Rob Minkoff,Writers,E.B. White",Rob Minkoff,1h 17m,"Adventure,Comedy,Family",English,,58K,United States,PG,No Popularity Score,"October 16, 2002",Rob Minkoff,5.5,Stuart Little 2
TV Movie,No budget,"Oscar Dufau,Ray Patterson,Bob Ogle",Oscar Dufau,30m,"Animation,Adventure,Comedy",English,,165,United States,1981,No Popularity Score,,Oscar Dufau,6.3,The Flintstones: Fred's Final Fling
TV Movie,No budget,"Jameson Brewer,Stars,Pamela Anderson",Jameson Brewer,58m,"Animation,Comedy,Family",English,,187,United States,1978,No Popularity Score,,Jameson Brewer,6.3,Flintstones Little Big League
1966,No budget,"Helmut Harun,Jürgen Scheller,Helmut Harun",Helmut Harun,0,Comedy,German,,0,West Germany,1h 23m,No Popularity Score,,Helmut Harun,0.0,Dick und Doof - Superschau des Lachens
2020,No budget,"Xavier Giacometti,Toby Genkel,Writers",Xavier Giacometti,1h 22m,"Animation,Adventure,Family",French,,516,"Belgium,France,Germany",TV-G,No Popularity Score,"August 12, 2020",Xavier Giacometti,6.3,"Yakari, a Spectacular Journey"
1938,No budget,"Gordon Douglas,Jack Jevne,Stars",Gordon Douglas,10m,"Short,Comedy,Family",English,,191,United States,Approved,No Popularity Score,,Gordon Douglas,6.9,Hide and Shriek
1940,No budget,"Gordon Douglas,Writers,Charley Rogers",Gordon Douglas,56m,Comedy,English,,3.1K,United States,G,No Popularity Score,"March 26, 1947",Gordon Douglas,7.1,Saps at Sea
1930,No budget,"Robert F. McGowan,Stars,Norman 'Chubby' Chaney",Robert F. McGowan,0,"Short,Comedy",Spanish,,0,United States,20m,No Popularity Score,,Robert F. McGowan,0.0,Los pequeños papas
1930,No budget,"James W. Horne,H.M. Walker,Robert A. McGowan",James W. Horne,20m,"Comedy,Family,Short","English,Spanish",,155,United States,Approved,No Popularity Score,,James W. Horne,6.9,When the Wind Blows
1930,No budget,"James Parrott,Leo McCarey,H.M. Walker",James Parrott,0,"Comedy,Short",Spanish,,186,United States,35m,No Popularity Score,,James Parrott,6.5,Ladrones
1929,No budget,"Robert F. McGowan,H.M. Walker,Robert A. McGowan",Robert F. McGowan,0,"Family,Comedy,Short",English,,146,United States,20m,No Popularity Score,,Robert F. McGowan,6.1,"Moan & Groan, Inc."
1948,No budget,"Robert B. Sinclair,Writers,Jay Dratler",Robert B. Sinclair,1h 22m,"Comedy,Romance",English,,1K,United States,Approved,No Popularity Score,"August 31, 1949",Robert B. Sinclair,6.5,That Wonderful Urge
1931,No budget,"James Parrott,Stars,Stan Laurel",James Parrott,0,"Comedy,Musical",Spanish,,78,United States,1h 2m,No Popularity Score,,James Parrott,7.1,Los presidiarios
1965,No budget,No Casting,No Director,0,No kind,English,,30,United States,No Pegi,No Popularity Score,,No Writers,7.5,Studies for Louisiana Story
1948,"$258,000 (estimated)","Robert J. Flaherty,Frances H. Flaherty,Robert J. Flaherty",Robert J. Flaherty,1h 18m,"Adventure,Drama","English,French",,2.1K,United States,Approved,No Popularity Score,"October 28, 1948",Robert J. Flaherty,6.5,Louisiana Story
